Nuclide,Element,Z,N,A,BE_exp_MeV,sigma_exp_MeV,sigma_exp_keV
73Ga,Ga,31,42,73,634.652802,0.001679,1.679
74Ga,Ga,31,43,74,641.0744024,0.002997,2.997
75Ga,Ga,31,44,75,649.5567375,0.0006675,0.6675
76Ga,Ga,31,45,76,655.4640672,0.0019532,1.9532
77Ga,Ga,31,46,77,663.2310839,0.0024255,2.4255
78Ga,Ga,31,47,78,669.0141354,0.001053,1.053
79Ga,Ga,31,48,79,675.9297275,0.0012087,1.2087
80Ga,Ga,31,49,80,680.67636,0.002888,2.888
81Ga,Ga,31,50,81,687.1519656,0.0032643,3.2643
82Ga,Ga,31,51,82,690.5260508,0.0024272,2.4272
83Ga,Ga,31,52,83,694.9237748,0.0026145,2.6145
84Ga,Ga,31,53,84,697.8321,0.0298116,29.8116
