Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
13,22,35,0.2571428571428571,2.3142857142857145,10.699874805650794,0.3057107087328798,44.56308722060568,1,1.0,5.0,2.0,2.0,1.4285714285714286,0.4062,1.5353,274.32438762,272.5493505,1.775037119999979,0.0073605
14,21,35,0.2,1.4,10.699874805650794,0.3057107087328798,52.0796798825377,1,1.0,6.0,2.0,1.0,0.8571428571428571,0.5394,0.1864,286.17940058,285.934754,0.2446465799999941,0.0358575
15,20,35,0.1428571428571428,0.7142857142857143,10.699874805650794,0.3057107087328798,60.189908636025606,1,1.0,5.0,2.0,0.0,0.0,1.0375,0.0098,293.50239158,295.618736,-2.1163444200000185,0.0018655
16,19,35,0.0857142857142857,0.2571428571428571,10.699874805650794,0.3057107087328798,68.89457403068172,1,1.0,4.0,1.0,1.0,0.8,2.0726,0.0843,297.18705655,298.8247885,-1.6377319499999885,4.2e-05
17,18,35,0.0285714285714285,0.0285714285714285,10.699874805650794,0.3057107087328798,78.19439216258166,1,1.0,3.0,1.0,2.0,1.2,2.493,0.4081,296.62690247,298.209765,-1.58286253,3.5e-05
18,17,35,-0.0285714285714285,0.0285714285714285,10.699874805650794,0.3057107087328798,88.09000808993365,1,1.0,2.0,1.0,3.0,1.2,1.9652,0.4392,290.32347641,291.4611735,-1.1376970899999606,0.000679
19,16,35,-0.0857142857142857,0.2571428571428571,10.699874805650794,0.3057107087328798,98.58200648150832,1,1.0,1.0,1.0,4.0,0.8,0.9964,0.0885,278.22883804,278.8044315,-0.5755934599999932,0.000511
12,24,36,0.3333333333333333,4.0,10.902723556992836,0.30285343213869,37.28743940589357,2,1.0,4.0,2.0,4.0,2.0,-4.1285,5.6354,262.99989806,260.7991272,2.200770860000034,0.6902388
13,23,36,0.2777777777777778,2.7777777777777777,10.902723556992836,0.30285343213869,44.1465854022427,0,1.0,5.0,2.0,3.0,1.875,-0.5625,2.4417,276.88817316,274.4465544,2.441618759999983,0.1495044
14,22,36,0.2222222222222222,1.7777777777777777,10.902723556992836,0.30285343213869,51.59292542444871,2,1.0,6.0,2.0,2.0,1.5,0.2517,0.6431,292.97081897,292.0507164,0.9201025699999832,0.0717984
15,21,36,0.1666666666666666,1.0,10.902723556992836,0.30285343213869,59.62735321274663,0,1.0,5.0,2.0,1.0,0.8333333333333334,1.8267,0.1412,299.03848398,299.0832912,-0.0448072199999955,0.0131148
