Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
98,141,239,0.1799163179916318,7.7364016736401675,38.51222415000313,0.16113901317992946,1492.2463149980044,1,4.0,16.0,5.0,15.0,7.741935483870968,-3.3509,12.5234,1794.63763717
98,143,241,0.18672199170124482,8.402489626556017,38.726777622501196,0.16069202332988053,1488.1069142196702,1,4.0,16.0,5.0,17.0,8.242424242424242,-3.8073,13.4973,1809.47883524
98,145,243,0.1934156378600823,9.090534979423868,38.94073839830002,0.16024995225637872,1484.0130643357586,1,4.0,16.0,5.0,19.0,8.685714285714285,-4.0259,13.9679,1823.8074119
98,157,255,0.23137254901960785,13.650980392156862,40.212411701776524,0.15769573216382957,1460.3594161869744,1,4.0,16.0,5.0,27.0,10.046511627906977,-3.1785,12.3486,1899.61793152
98,158,256,0.234375,14.0625,40.317473596635935,0.15749013123685915,1458.4554252193175,2,4.0,16.0,5.0,26.0,9.904761904761905,-2.9794,11.7833,1906.05824014
98,159,257,0.23735408560311283,14.478599221789883,40.42239878077115,0.15728559836875938,1456.5613251333432,1,4.0,16.0,5.0,25.0,9.75609756097561,-2.9932,11.2233,1910.65370993
99,137,236,0.16101694915254236,6.11864406779661,38.189268112707936,0.1618189326809659,1529.6638311571915,0,4.0,17.0,5.0,11.0,6.678571428571429,-2.0656,9.3313,1763.73233823
99,138,237,0.16455696202531644,6.417721518987341,38.29707135834644,0.1615910183896475,1527.5093722057106,1,4.0,17.0,5.0,12.0,7.0344827586206895,-2.2932,10.2716,1772.69178054
99,139,238,0.16806722689075632,6.722689075630252,38.4047230880316,0.1613643827228219,1525.3670000082818,0,4.0,17.0,5.0,13.0,7.366666666666666,-2.4485,11.0968,1780.03789222
99,140,239,0.17154811715481172,7.03347280334728,38.51222415000313,0.16113901317992946,1523.236596397929,1,4.0,17.0,5.0,14.0,7.67741935483871,-2.7474,11.8698,1788.7224838
99,141,240,0.175,7.35,38.61957538422518,0.16091489743427165,1521.1180448511734,0,4.0,17.0,5.0,15.0,7.96875,-3.1477,12.6101,1795.80357033
99,142,241,0.17842323651452283,7.672199170124482,38.726777622501196,0.16069202332988053,1519.0112304584422,1,4.0,17.0,5.0,16.0,8.242424242424242,-3.6629,13.2711,1804.2193959
99,143,242,0.18181818181818182,8.0,38.833831688586685,0.16047037887845741,1516.9160398951287,0,4.0,17.0,5.0,17.0,8.5,-3.7042,13.621,1811.04131248
99,144,243,0.18518518518518517,8.333333333333334,38.94073839830002,0.16024995225637872,1514.8323613932896,1,4.0,17.0,5.0,18.0,8.742857142857142,-3.7837,13.8864,1819.19427247
99,145,244,0.1885245901639344,8.672131147540984,39.04749855963123,0.16003073180176738,1512.7600847139595,0,4.0,17.0,5.0,19.0,8.972222222222221,-3.9876,14.0912,1825.76269825
99,146,245,0.19183673469387755,9.016326530612245,39.15411297284888,0.15981270601162811,1510.6991011200744,1,4.0,17.0,5.0,20.0,9.18918918918919,-4.2964,14.2957,1833.65851586
99,149,248,0.20161290322580644,10.080645161290322,39.47308961287589,0.15916568392288669,1504.5828434565856,0,4.0,17.0,5.0,23.0,9.775,-4.7235,14.6791,1853.70099905
99,150,249,0.20481927710843373,10.44578313253012,39.57912888553151,0.15895232484149208,1502.5659739565147,1,4.0,17.0,5.0,24.0,9.951219512195122,-4.8828,14.863,1861.09902577
99,151,250,0.208,10.816,39.68502629920498,0.15874010519681997,1500.5598754775685,0,4.0,17.0,5.0,25.0,10.119047619047619,-4.8754,14.7832,1866.93939187
99,157,256,0.2265625,13.140625,40.317473596635935,0.15749013123685915,1488.7439530464767,0,4.0,17.0,5.0,27.0,10.431818181818182,-3.5067,12.5808,1903.85391022
99,158,257,0.22957198443579765,13.544747081712062,40.42239878077115,0.15728559836875938,1486.8105171658192,1,4.0,17.0,5.0,26.0,10.279069767441861,-3.3845,12.0452,1910.31794353
99,159,258,0.23255813953488372,13.953488372093023,40.527187962990446,0.1570821238875599,1484.8870861475962,0,4.0,17.0,5.0,25.0,10.119047619047619,-3.3184,11.4767,1915.25748818
100,137,237,0.15611814345991562,5.776371308016878,38.29707135834644,0.1615910183896475,1558.9072148371927,1,4.0,18.0,5.0,11.0,6.827586206896552,-1.8899,9.3014,1765.38440989
100,138,238,0.15966386554621848,6.067226890756302,38.4047230880316,0.1613643827228219,1556.7208063370497,2,4.0,18.0,5.0,12.0,7.2,-2.1716,10.2579,1774.7164825
100,139,239,0.16317991631799164,6.364016736401673,38.51222415000313,0.16113901317992946,1554.5466124374086,1,4.0,18.0,5.0,13.0,7.548387096774194,-2.4221,11.0909,1782.09523562
100,140,240,0.16666666666666666,6.666666666666667,38.61957538422518,0.16091489743427165,1552.384514219659,2,4.0,18.0,5.0,14.0,7.875,-2.7177,11.8762,1791.14960521
100,141,241,0.17012448132780084,6.975103734439834,38.726777622501196,0.16069202332988053,1550.2343944122701,1,4.0,18.0,5.0,15.0,8.181818181818182,-3.1511,12.6317,1798.26238482
100,142,242,0.17355371900826447,7.289256198347108,38.833831688586685,0.16047037887845741,1548.0961373612568,2,4.0,18.0,5.0,16.0,8.470588235294118,-3.6562,13.3015,1807.045169
100,143,243,0.17695473251028807,7.609053497942387,38.94073839830002,0.16024995225637872,1545.969629001293,1,4.0,18.0,5.0,17.0,8.742857142857142,-3.7005,13.6526,1813.89783698
100,144,244,0.18032786885245902,7.934426229508197,39.04749855963123,0.16003073180176738,1543.8547568274605,2,4.0,18.0,5.0,18.0,9.0,-3.8818,13.91,1822.41496887
100,145,245,0.1836734693877551,8.26530612244898,39.15411297284888,0.15981270601162811,1541.751409867612,1,4.0,18.0,5.0,19.0,9.243243243243244,-4.1009,14.1261,1829.01321146
100,147,247,0.1902834008097166,8.94331983805668,39.36690771803848,0.15938019319043925,1537.5788552034965,1,4.0,18.0,5.0,21.0,9.692307692307692,-4.5929,14.4556,1843.61978118
100,158,258,0.2248062015503876,13.03875968992248,40.527187962990446,0.1570821238875599,1515.4088308286516,2,4.0,18.0,5.0,26.0,10.636363636363637,-3.8807,12.1808,1916.20204007
100,159,259,0.2277992277992278,13.44015444015444,40.63184184569578,0.1568796982459297,1513.4559822337844,1,4.0,18.0,5.0,25.0,10.465116279069768,-3.9152,11.6388,1921.1650819
101,144,245,0.17551020408163265,7.546938775510204,39.15411297284888,0.15981270601162811,1573.1208384195172,1,4.0,19.0,5.0,18.0,9.243243243243244,-3.359,13.8711,1823.18988479
101,145,246,0.17886178861788618,7.869918699186992,39.260582430605055,0.15959586353904498,1570.9863434798585,0,4.0,19.0,5.0,19.0,9.5,-3.4938,14.0437,1830.1492324
101,146,247,0.18218623481781376,8.19838056680162,39.36690771803848,0.15938019319043925,1568.8633863753328,1,4.0,19.0,5.0,20.0,9.743589743589743,-4.1142,14.2391,1838.4359515
101,147,248,0.18548387096774194,8.53225806451613,39.47308961287589,0.15916568392288669,1566.7518584046063,0,4.0,19.0,5.0,21.0,9.975,-4.3338,14.375,1845.14368987
101,152,253,0.2015810276679842,10.280632411067193,40.001874912116236,0.15811017751824602,1556.3619516089307,1,4.0,19.0,5.0,26.0,10.977777777777778,-4.9816,14.774,1881.17609996
101,153,254,0.2047244094488189,10.645669291338583,40.10721238089454,0.15790241094840374,1554.316795571575,0,4.0,19.0,5.0,27.0,11.152173913043478,-4.6632,14.572,1887.16070275
101,158,259,0.22007722007722008,12.544401544401545,40.63184184569578,0.1568796982459297,1544.2496944997667,1,4.0,19.0,5.0,26.0,10.977777777777778,-3.9018,12.376,1919.63657671
101,159,260,0.2230769230769231,12.938461538461539,40.73636112496519,0.15667831201909693,1542.267343547157,0,4.0,19.0,5.0,25.0,10.795454545454545,-3.9131,11.8521,1924.94246261
102,144,246,0.17073170731707318,7.170731707317073,39.260582430605055,0.15959586353904498,1602.6299143676,2,4.0,20.0,5.0,18.0,9.473684210526315,-2.9518,13.7799,1825.58562614
102,145,247,0.17408906882591094,7.48582995951417,39.36690771803848,0.15938019319043925,1600.4641956286987,1,4.0,20.0,5.0,19.0,9.743589743589743,-3.1174,13.9348,1832.57503075
102,146,248,0.1774193548387097,7.806451612903226,39.47308961287589,0.15916568392288669,1598.3101362347677,2,4.0,20.0,5.0,20.0,10.0,-3.9364,14.0859,1841.22162174
102,147,249,0.18072289156626506,8.132530120481928,39.57912888553151,0.15895232484149208,1596.1676267814364,1,4.0,20.0,5.0,21.0,10.24390243902439,-4.1853,14.1873,1847.95851503
102,148,250,0.184,8.464,39.68502629920498,0.15874010519681997,1594.036559325012,2,4.0,20.0,5.0,22.0,10.476190476190476,-4.5042,14.2816,1856.34721023
102,149,251,0.18725099601593626,8.800796812749004,39.7907826099774,0.15852901438238012,1591.9168273572297,1,4.0,20.0,5.0,23.0,10.69767441860465,-4.2353,14.5244,1862.83698475
102,156,258,0.20930232558139536,11.30232558139535,40.527187962990446,0.1570821238875599,1577.3874408280751,2,4.0,20.0,5.0,28.0,11.666666666666666,-4.1546,13.4403,1911.95786249
102,158,260,0.2153846153846154,12.061538461538461,40.73636112496519,0.15667831201909693,1573.332442372447,2,4.0,20.0,5.0,26.0,11.304347826086957,-4.1227,12.4796,1924.68805565
102,159,261,0.21839080459770116,12.448275862068966,40.84074649063382,0.1564779559028116,1571.320506108154,1,4.0,20.0,5.0,25.0,11.11111111111111,-4.1891,11.9572,1930.01783738
103,146,249,0.17269076305220885,7.42570281124498,39.57912888553151,0.15895232484149208,1627.9990464558186,1,4.0,21.0,5.0,20.0,10.24390243902439,-3.2424,13.8546,1841.58046714
103,147,250,0.176,7.744,39.68502629920498,0.15874010519681997,1625.8254803912146,0,4.0,21.0,5.0,21.0,10.5,-3.8333,13.9352,1848.67424696
103,148,251,0.17928286852589642,8.06772908366534,39.7907826099774,0.15852901438238012,1623.6634758721468,1,4.0,21.0,5.0,22.0,10.744186046511627,-4.1617,14.0521,1857.09177228
103,149,252,0.18253968253968253,8.396825396825397,39.896398566905845,0.15831904193216612,1621.5129257051626,0,4.0,21.0,5.0,23.0,10.977272727272727,-4.1642,14.3469,1863.935811
103,154,257,0.19844357976653695,10.120622568093385,40.42239878077115,0.15728559836875938,1610.928336033575,1,4.0,21.0,5.0,28.0,12.0,-4.5645,14.219,1900.64932751
103,155,258,0.20155038759689922,10.48062015503876,40.527187962990446,0.1570821238875599,1608.8443384468699,0,4.0,21.0,5.0,29.0,12.18,-4.3302,13.7903,1906.77513729
103,156,259,0.20463320463320464,10.845559845559846,40.63184184569578,0.1568796982459297,1606.7710831366328,1,4.0,21.0,5.0,28.0,12.0,-4.262,13.3438,1914.21063538
103,157,260,0.2076923076923077,11.215384615384615,40.73636112496519,0.15667831201909693,1604.7084735737967,0,4.0,21.0,5.0,27.0,11.8125,-4.1967,12.8699,1920.10688119
103,158,261,0.210727969348659,11.590038314176246,40.84074649063382,0.1564779559028116,1602.656414463687,1,4.0,21.0,5.0,26.0,11.617021276595745,-4.2471,12.3959,1927.30940023
103,159,262,0.21374045801526717,11.969465648854962,40.94499862637359,0.15627862071134963,1600.614811725578,0,4.0,21.0,5.0,25.0,11.41304347826087,-4.3629,11.8895,1932.98077495
104,148,252,0.1746031746031746,7.682539682539683,39.896398566905845,0.15831904193216612,1653.5317299604594,2,4.0,22.0,5.0,22.0,11.0,-4.0074,13.8323,1859.44875798
104,149,253,0.17786561264822134,8.003952569169961,40.001874912116236,0.15811017751824602,1651.3502871506648,1,4.0,22.0,5.0,23.0,11.244444444444444,-4.2993,14.1479,1866.32130608
104,150,254,0.18110236220472442,8.330708661417322,40.10721238089454,0.15790241094840374,1649.180310554884,2,4.0,22.0,5.0,24.0,11.478260869565217,-4.7136,14.4829,1874.83860446
104,151,255,0.1843137254901961,8.662745098039215,40.212411701776524,0.15769573216382957,1647.0216951158802,1,4.0,22.0,5.0,25.0,11.702127659574469,-4.9225,14.5771,1881.46581224
104,155,259,0.1969111969111969,10.042471042471043,40.63184184569578,0.1568796982459297,1638.4987912408715,1,4.0,22.0,5.0,29.0,12.509803921568627,-4.5862,13.6584,1910.2925981
104,156,260,0.2,10.4,40.73636112496519,0.15667831201909693,1636.3954528680454,2,4.0,22.0,5.0,28.0,12.32,-4.5431,13.2241,1918.07357333
104,158,262,0.20610687022900764,11.129770992366412,40.94499862637359,0.15627862071134963,1632.2209565378269,2,4.0,22.0,5.0,26.0,11.916666666666666,-4.5942,12.2816,1931.54042605
104,159,263,0.20912547528517111,11.50190114068441,41.049118209771585,0.1560802973755574,1630.1496079209965,1,4.0,22.0,5.0,25.0,11.702127659574469,-4.8069,11.7822,1937.23605501
105,148,253,0.16996047430830039,7.308300395256917,40.001874912116236,0.15811017751824602,1683.6406556088348,1,4.0,21.0,5.0,22.0,10.744186046511627,-4.0082,13.4901,1859.39733815
105,149,254,0.1732283464566929,7.622047244094488,40.10721238089454,0.15790241094840374,1681.4282474681727,0,4.0,21.0,5.0,23.0,10.977272727272727,-4.3206,13.8279,1866.62266477
105,150,255,0.17647058823529413,7.9411764705882355,40.212411701776524,0.15769573216382957,1679.2274226394186,1,4.0,21.0,5.0,24.0,11.2,-4.7589,14.1849,1875.16815578
105,151,256,0.1796875,8.265625,40.317473596635935,0.15749013123685915,1677.03807540756,0,4.0,21.0,5.0,25.0,11.41304347826087,-4.9976,14.3151,1882.14559503
105,155,260,0.19230769230769232,9.615384615384615,40.73636112496519,0.15667831201909693,1668.3933957197437,0,4.0,21.0,5.0,29.0,12.18,-4.88,13.448,1911.71915658
105,156,261,0.19540229885057472,9.96551724137931,40.84074649063382,0.1564779559028116,1666.2598980014266,1,4.0,21.0,5.0,28.0,12.0,-4.8226,13.0122,1919.5257935
105,157,262,0.1984732824427481,10.320610687022901,40.94499862637359,0.15627862071134963,1664.1372716296978,0,4.0,21.0,5.0,27.0,11.8125,-4.8258,12.5431,1925.78988914
105,158,263,0.20152091254752852,10.680608365019012,41.049118209771585,0.1560802973755574,1662.025420031421,1,4.0,21.0,5.0,26.0,11.617021276595745,-4.9376,12.0747,1933.36023649
105,159,264,0.20454545454545456,11.045454545454545,41.15310591240709,0.155882976940936,1659.9242478543633,0,4.0,21.0,5.0,25.0,11.41304347826087,-5.1126,11.5771,1939.39618883
