Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth
67,105,172,0.2209302325581395,8.395348837209303,30.92803284791408,0.1798141444646167,769.9976067643554,0,3.0,15.0,4.0,21.0,8.75,-3.7588,13.6388,1387.3505
67,106,173,0.2254335260115607,8.791907514450868,31.04779308435421,0.1794670120482903,768.5111212011783,1,3.0,15.0,4.0,20.0,8.571428571428571,-3.7277,13.6246,1393.4648
67,107,174,0.2298850574712643,9.195402298850574,31.167322789559027,0.1791225447675806,767.0360482443494,0,3.0,15.0,4.0,19.0,8.382352941176471,-3.6856,13.4121,1398.1221
67,108,175,0.2342857142857143,9.605714285714283,31.286623728379865,0.1787807070193135,765.5722354344557,1,3.0,15.0,4.0,18.0,8.181818181818182,-3.7712,13.1171,1403.8404
67,109,176,0.2386363636363636,10.022727272727272,31.405697642158756,0.178441463875902,764.1195332050743,0,3.0,15.0,4.0,17.0,7.96875,-3.5394,12.6311,1408.1497
68,75,143,0.0489510489510489,0.3426573426573426,27.34580368248674,0.1912293963810262,843.9068122955954,1,3.0,14.0,3.0,7.0,4.666666666666667,0.0466,6.8119,1131.2905
68,76,144,0.0555555555555555,0.4444444444444444,27.47314182127996,0.190785707092222,841.9487848142012,2,3.0,14.0,3.0,6.0,4.2,-0.1414,5.9656,1144.8958
68,77,145,0.0620689655172413,0.5586206896551724,27.600185534004485,0.1903461071310654,840.008803781339,1,3.0,14.0,3.0,5.0,3.684210526315789,0.1675,4.8286,1156.0401
68,105,173,0.2138728323699422,7.913294797687861,31.04779308435421,0.1794670120482903,791.9987037354634,1,3.0,14.0,4.0,21.0,8.4,-3.993,13.748,1396.9305
68,106,174,0.2183908045977011,8.298850574712644,31.167322789559027,0.1791225447675806,790.4785489354944,2,3.0,14.0,4.0,20.0,8.235294117647058,-4.0711,13.7794,1403.5768
68,107,175,0.2228571428571428,8.691428571428572,31.286623728379865,0.1787807070193135,788.9699984201352,1,3.0,14.0,4.0,19.0,8.06060606060606,-4.0647,13.5978,1408.2351
68,108,176,0.2272727272727272,9.090909090909092,31.405697642158756,0.178441463875902,787.4728980518473,2,3.0,14.0,4.0,18.0,7.875,-4.1592,13.3156,1414.4924
68,109,177,0.231638418079096,9.497175141242938,31.52454624917325,0.1781047810687755,785.9870966013697,1,3.0,14.0,4.0,17.0,7.67741935483871,-3.9706,12.8329,1418.7907
68,110,178,0.2359550561797752,9.910112359550562,31.6431712450704,0.1777706249723056,784.5124456767851,2,3.0,14.0,4.0,16.0,7.466666666666667,-3.9499,12.2626,1424.671
69,75,144,0.0416666666666666,0.25,27.47314182127996,0.190785707092222,867.2953944810434,0,3.0,13.0,3.0,7.0,4.55,-0.288,6.9855,1129.6135
69,76,145,0.0482758620689655,0.3379310344827586,27.600185534004485,0.1903461071310654,865.2970109148112,1,3.0,13.0,3.0,6.0,4.105263157894737,-0.5266,6.1547,1143.5038
69,77,146,0.0547945205479452,0.4383561643835616,27.7269375249599,0.189910530992876,863.3169193012666,0,3.0,13.0,3.0,5.0,3.611111111111111,-0.1793,4.9836,1155.0351
69,80,149,0.0738255033557047,0.8120805369127517,28.105469568479982,0.1886273125401341,857.4835187224791,1,3.0,13.0,3.0,2.0,1.7333333333333334,-1.4138,2.8721,1192.669
69,81,150,0.08,0.96,28.23108086643085,0.1882072057762057,855.573749552143,0,3.0,13.0,3.0,1.0,0.9285714285714286,-1.0177,1.595,1203.4573
69,108,177,0.2203389830508474,8.59322033898305,31.52454624917325,0.1781047810687755,809.6489968262459,1,3.0,13.0,4.0,18.0,7.548387096774194,-4.381,13.2235,1422.2434
69,109,178,0.2247191011235955,8.98876404494382,31.6431712450704,0.1777706249723056,808.1299519883327,0,3.0,13.0,4.0,17.0,7.366666666666666,-4.2455,12.7482,1427.0637
69,110,179,0.2290502793296089,9.391061452513966,31.7615743032901,0.1774389625882129,806.6222433521339,1,3.0,13.0,4.0,16.0,7.172413793103448,-4.2701,12.1812,1432.961
69,111,180,0.2333333333333333,9.8,31.879757075478327,0.1771097615304352,805.1257236934002,0,3.0,13.0,4.0,15.0,6.964285714285714,-4.1326,11.4817,1437.4383
69,112,181,0.2375690607734806,10.215469613259668,31.997721191890317,0.1767829900104437,803.6402485042178,1,3.0,13.0,4.0,14.0,6.7407407407407405,-4.2147,10.7367,1442.9556
69,113,182,0.2417582417582417,10.637362637362637,32.11546826178415,0.1764586168229899,802.165675928213,0,3.0,13.0,4.0,13.0,6.5,-3.909,9.8499,1447.5239
69,114,183,0.2459016393442623,11.065573770491802,32.232999873805014,0.1761366113322678,800.7018666976513,1,3.0,13.0,4.0,12.0,6.24,-3.7976,9.0029,1452.9212
70,76,146,0.0410958904109589,0.2465753424657534,27.7269375249599,0.189910530992876,888.9232663471926,2,3.0,12.0,3.0,6.0,4.0,-0.9669,6.2306,1144.0328
70,77,147,0.0476190476190476,0.3333333333333333,27.853400455274738,0.1894789146617329,886.9029792315563,1,3.0,12.0,3.0,5.0,3.5294117647058822,-0.6289,5.0345,1155.8171
70,78,148,0.054054054054054,0.4324324324324324,27.97957694388431,0.1890511955667859,884.9009340949776,2,3.0,12.0,3.0,4.0,3.0,-0.6517,4.3822,1169.6654
70,79,149,0.0604026845637583,0.5436241610738255,28.105469568479982,0.1886273125401341,882.91684462595,1,3.0,12.0,3.0,3.0,2.4,-1.2198,3.7339,1181.0617
70,80,150,0.0666666666666666,0.6666666666666666,28.23108086643085,0.1882072057762057,880.9504308896846,2,3.0,12.0,3.0,2.0,1.7142857142857142,-1.8659,2.927,1194.481
70,83,153,0.0849673202614379,1.1045751633986929,28.60625158788936,0.1869689646267278,875.1545365737414,1,3.0,12.0,4.0,1.0,0.9230769230769232,-1.1355,1.2538,1227.5339
70,109,179,0.217877094972067,8.497206703910615,31.7615743032901,0.1774389625882129,830.5470021938293,1,3.0,12.0,4.0,17.0,7.0344827586206895,-4.7131,12.5337,1436.5157
70,110,180,0.2222222222222222,8.88888888888889,31.879757075478327,0.1771097615304352,829.0060951254598,2,3.0,12.0,4.0,16.0,6.857142857142857,-4.7623,11.9534,1442.942
70,111,181,0.2265193370165746,9.28729281767956,31.997721191890317,0.1767829900104437,827.4765601103062,1,3.0,12.0,4.0,15.0,6.666666666666667,-4.6897,11.2756,1447.4163
70,112,182,0.2307692307692307,9.692307692307692,32.11546826178415,0.1764586168229899,825.9582510844746,2,3.0,12.0,4.0,14.0,6.461538461538462,-4.8471,10.5491,1453.4726
70,113,183,0.2349726775956284,10.103825136612022,32.232999873805014,0.1761366113322678,824.4510246494905,1,3.0,12.0,4.0,13.0,6.24,-4.521,9.6444,1458.2489
70,114,184,0.2391304347826087,10.521739130434783,32.35031759636025,0.1758169434584796,822.9547400094106,2,3.0,12.0,4.0,12.0,6.0,-4.3802,8.7797,1464.1972
70,115,185,0.2432432432432432,10.945945945945946,32.46742297798574,0.1754995836647878,821.4692589097531,1,3.0,12.0,4.0,11.0,5.739130434782608,-4.3479,8.067,1468.3365
70,116,186,0.2473118279569892,11.376344086021506,32.584317547703584,0.175184502944643,819.9944455781812,2,3.0,12.0,4.0,10.0,5.454545454545454,-4.4596,7.2738,1474.1088
71,76,147,0.0340136054421768,0.1700680272108843,27.853400455274738,0.1894789146617329,912.82631945539,1,3.0,11.0,3.0,6.0,3.882352941176471,-0.8239,5.9801,1141.8528
71,77,148,0.0405405405405405,0.2432432432432432,27.97957694388431,0.1890511955667859,910.7657564217758,0,3.0,11.0,3.0,5.0,3.4375,-0.2862,4.8868,1153.9451
71,78,149,0.046979865771812,0.3288590604026846,28.105469568479982,0.1886273125401341,908.7236738829936,1,3.0,11.0,3.0,4.0,2.933333333333333,-0.8329,4.238,1168.0084
71,79,150,0.0533333333333333,0.4266666666666667,28.23108086643085,0.1882072057762057,906.6997837220238,0,3.0,11.0,3.0,3.0,2.357142857142857,-1.3806,3.5763,1179.7127
71,80,151,0.0596026490066225,0.5364238410596026,28.35641333567881,0.1877908167925749,904.6938041961856,1,3.0,11.0,3.0,2.0,1.6923076923076923,-2.0122,2.764,1193.316
71,81,152,0.0657894736842105,0.6578947368421053,28.48146943560797,0.1873780883921577,902.7054597550108,0,3.0,11.0,3.0,1.0,0.9166666666666666,-1.5946,1.4796,1204.6253
71,83,154,0.0779220779220779,0.935064935064935,28.730762177301624,0.1865633907616989,898.7806038373567,0,3.0,11.0,4.0,1.0,0.9166666666666666,-1.3638,1.1989,1227.2879
71,111,182,0.2197802197802197,8.791208791208792,32.11546826178415,0.1764586168229899,850.100234204316,0,3.0,11.0,4.0,15.0,6.346153846153846,-4.3803,10.5863,1455.3033
