Z,N,A,dataset_split,participates_in_loss,train_uncertainty,pred_residual,pred_binding_energy,actual_binding_energy,theory_binding_energy,actual_residual,pred_minus_actual_residual
29,48,77,train,True,0.0012089,-1.7016064018011092,647.5896679252386,647.666259765625,645.8880615234375,-1.7781914472579956,0.07658504545688638
30,47,77,train,True,0.0019712,-1.021672159731388,656.8454026284813,656.810302734375,655.82373046875,-0.9865761399269104,-0.03509601980447763
31,46,77,train,True,0.0024255,-0.19836842186748982,663.2632487929612,663.2310791015625,663.0648803710938,-0.16620555520057678,-0.03216286666691304
32,45,77,train,True,5.39e-05,0.8044725894927979,667.6353467464447,667.6692504882812,668.4398193359375,0.770577609539032,0.03389497995376589
33,44,77,train,True,0.001694,1.8970466500520706,669.3260368460417,669.5903930664062,671.2230834960938,1.63271164894104,0.2643350011110306
34,43,77,train,True,6.16e-05,2.7874490571022035,669.2515524077415,669.4912109375,672.0390014648438,2.547792911529541,0.23965614557266246
35,42,77,train,True,0.0028105,3.228396294116974,667.1347018504143,667.3441772460938,670.3630981445312,3.018909215927124,0.2094870781898499
36,41,77,train,True,0.0019558,3.334510968923569,663.2865217459201,663.4964599609375,666.6210327148438,3.124582052230835,0.20992891669273384
37,40,77,train,True,0.0013013,3.288537483215332,657.1966309738159,657.3751220703125,660.4851684570312,3.1099917888641357,0.17854569435119627
38,39,77,train,True,0.0079156,3.1165106654167176,649.0693413853645,649.5657348632812,652.1858520507812,2.6200740337371826,0.496436631679535
29,49,78,train,True,0.0133302,-2.249010744690895,651.4844843775033,651.6642456054688,649.2354736328125,-2.428753137588501,0.17974239289760607
30,48,78,train,True,0.0019422,-1.5168556344509125,663.7122902047635,663.5756225585938,662.1954345703125,-1.3802088499069214,-0.13664678454399115
31,47,78,train,True,0.001053,-0.7665360248088837,668.7780716693401,669.01416015625,668.0115356445312,-1.00262451171875,0.23608848690986628
32,46,78,train,True,0.0035334,0.15641571556217967,676.3351003977191,676.3897705078125,676.4915161132812,0.1017303615808487,0.05468535398133098
33,45,78,train,True,0.0097812,1.4066488301753999,676.4488199198246,676.5623168945312,677.85546875,1.293148159980774,0.11350067019462595
34,44,78,train,True,0.0001794,2.118127039670944,679.7411869251728,679.9889526367188,681.8593139648438,1.870348334312439,0.2477787053585052
35,43,78,train,True,0.0035802,3.2189968252182006,675.548642334938,675.6328125,678.7676391601562,3.134798049926758,0.08419877529144282
36,42,78,train,True,0.0003042,3.0647900748252868,675.234099085331,675.5765991210938,678.2988891601562,2.7222843170166016,0.3425057578086852
37,41,78,train,True,0.003237,3.3969060921669008,667.3512628531456,667.5513916015625,670.7481689453125,3.1967618465423584,0.20014424562454236
38,40,78,train,True,0.007449,3.013195209503174,662.7970464897156,663.007568359375,665.8102416992188,2.802649736404419,0.21054547309875504
29,50,79,train,False,0.1049831,-2.6062361931800844,656.7568099236488,657.3541259765625,654.1505737304688,-3.2035093307495117,0.5972731375694273
30,49,79,train,True,0.0022278,-2.0434552133083344,667.7264386117458,667.5960083007812,665.6829833984375,-1.913038730621338,-0.13041648268699646
31,48,79,train,True,0.0012087,-1.3196373575925826,675.8479576700926,675.9297485351562,674.5283203125,-1.401391625404358,0.0817542678117753
32,47,79,train,True,0.0371616,-0.46132792547345164,682.0490354450047,682.126220703125,681.5877075195312,-0.5384928584098816,0.07716493293642995
33,46,79,train,True,0.0053246,0.6359831437468528,685.4247468367219,685.4527587890625,686.0607299804688,0.6079726815223694,0.028010462224483446
34,45,79,train,True,0.0002212,1.7431203991174697,686.9057443469762,686.9517822265625,688.6488647460938,1.697044014930725,0.046076384186744646
35,44,79,train,True,0.0010033,2.7314884185791017,686.0166805267334,686.320068359375,688.7481689453125,2.4281065464019775,0.3033818721771242
36,43,79,train,True,0.0034839,3.109825191497803,683.7564467811585,683.9119262695312,686.8662719726562,2.9543159008026123,0.15550929069519048
37,42,79,train,True,0.0019434,3.2108988785743713,679.3800435042381,679.4900512695312,682.5909423828125,3.100860118865967,0.11003875970840449
38,41,79,train,True,0.0074181,3.131576678752899,673.1082304501533,673.3845825195312,676.2398071289062,2.855193853378296,0.27638282537460324
39,40,79,train,True,0.080106,2.980175346136093,664.6091190874577,664.925537109375,667.5892944335938,2.663769245147705,0.31640610098838806
30,50,80,train,True,0.002584,-2.4576691043376924,673.9000519168377,673.8836669921875,671.4423828125,-2.4412567615509033,-0.016412342786789047
31,49,80,train,True,0.002888,-1.8340244245529176,680.6932773542404,680.6763305664062,678.8592529296875,-1.8171029090881348,-0.01692151546478282
32,48,80,train,True,0.002056,-1.0905904111266136,690.0490254697204,690.2056274414062,688.9584350585938,-1.2472223043441772,0.15663189321756366
33,47,80,train,True,0.003336,-0.047917077695019544,692.05695028082,692.1026000976562,692.009033203125,-0.09357920289039612,0.045662125195376574
34,46,80,train,True,0.000944,0.9281938600540162,696.7875654172898,696.8651123046875,697.7157592773438,0.8506276607513428,0.07756619930267339
35,45,80,train,True,0.000992,2.396285973787308,694.0003204715252,694.2123413085938,696.3966064453125,2.184278964996338,0.21200700879097
36,44,80,train,True,0.000696,2.625346477031708,695.0890700268745,695.4343872070312,697.7144165039062,2.2799811363220215,0.3453653407096864
37,43,80,train,True,0.001864,3.2650130474567414,688.7572037494183,688.93408203125,692.022216796875,3.0881571769714355,0.17685587048530582
38,42,80,train,True,0.003464,2.941501613855362,686.0127830541134,686.2877197265625,688.9542846679688,2.666581869125366,0.2749197447299956
39,41,80,train,True,0.00624,3.1090021657943727,675.7770451974869,676.3421020507812,678.8860473632812,2.543957233428955,0.5650449323654176
30,51,81,train,True,0.0050301,-2.0256049931049347,676.3965156376362,676.5060424804688,674.3709106445312,-2.1350982189178467,0.10949322581291199
31,50,81,train,True,0.0032643,-2.3284335142374037,687.0842928892374,687.1519775390625,684.755859375,-2.396132707595825,0.06769919335842145
32,49,81,train,True,0.0020574,-1.6025068616867066,695.0336592054367,695.0333251953125,693.43115234375,-1.6021915674209595,-0.000315294265747168
33,48,81,train,True,0.0026406,-0.8339523485302925,700.3597091844678,700.4926147460938,699.5257568359375,-0.9668699502944946,0.1329176017642021
34,47,81,train,True,0.0009801,0.31932744443416594,703.4945153290033,703.5659790039062,703.8138427734375,0.24784837663173676,0.07147906780242919
35,46,81,train,True,0.0009801,1.4828824412822723,704.1337557423115,704.3716430664062,705.6166381835938,1.2449816465377808,0.23790079474449155
36,45,81,train,True,0.0010773,2.4229270780086516,703.0959327852726,703.3084716796875,705.5188598632812,2.2103652954101562,0.21256178259849534
37,44,81,train,True,0.0049005,2.9109895753860475,700.117819018364,700.28662109375,703.02880859375,2.7421956062316895,0.16879396915435807
38,43,81,train,True,0.0031266,3.0147569727897645,695.531324570179,695.5757446289062,698.5460815429688,2.970341682434082,0.04441529035568248
39,42,81,train,True,0.0054027,2.959006049633026,688.8035061573983,688.9781494140625,691.7625122070312,2.784379720687866,0.17462632894515995
40,41,81,train,True,0.0922185,2.8008594596385956,680.0945262825489,680.00732421875,682.8953857421875,2.8880650997161865,-0.0872056400775909
30,52,82,train,True,0.003075,-1.1770949333906173,680.7320265740157,680.691650390625,679.554931640625,-1.1367026567459106,-0.04039227664470668
31,51,82,train,True,0.0024272,-1.9218106150627137,690.4301724314689,690.5260620117188,688.5083618164062,-2.0176851749420166,0.09587455987930293
32,50,82,train,True,0.0022386,-2.2084721231460573,702.3706425333023,702.22802734375,700.1621704101562,-2.065868616104126,-0.14260350704193137
33,49,82,train,True,0.003731,-1.3686973679065704,706.2002403366565,706.1360473632812,704.83154296875,-1.3045403957366943,-0.06415697216987604
34,48,82,train,True,0.0004674,-0.5833609770238399,712.7565177153051,712.8421630859375,712.1731567382812,-0.6689969897270203,0.08563601270318033
35,47,82,train,True,0.0009676,0.7873726263642311,711.7676810845733,711.964599609375,712.5550537109375,0.590440571308136,0.19693205505609512
36,46,82,train,True,2.46e-05,1.4900986886024474,714.0978529715538,714.275390625,715.5879516601562,1.3125519752502441,0.1775467133522033
37,45,82,train,True,0.0030094,2.7350004005432127,708.9441988182068,709.0890502929688,711.67919921875,2.590146064758301,0.14485433578491191
38,44,82,train,True,0.0059942,2.613488805294037,707.7929443001747,708.1289672851562,710.4064331054688,2.277482271194458,0.33600653409957904
39,43,82,train,True,0.0055022,3.043482393026352,699.1606191694736,699.400634765625,702.2041015625,2.8034472465515137,0.24003514647483826
40,42,82,train,True,0.0015826,2.6344412672519684,693.9942818772793,694.1682739257812,696.6287231445312,2.460437059402466,0.17400420784950255
31,52,83,train,True,0.0026145,-1.1540179255604743,694.9758563044667,694.9237670898438,693.8218383789062,-1.1019521951675415,-0.05206573039293283
32,51,83,train,True,0.0024236,-1.7740029948949814,705.8229531902075,705.8607177734375,704.0489501953125,-1.8117833137512207,0.03778031885623934
33,50,83,train,True,0.0027971,-2.1389047998189925,713.840076674819,713.7713012695312,711.701171875,-2.0701379776000977,-0.06876682221889485
34,49,83,train,True,0.0030378,-1.1425936698913575,718.7641146659851,718.66015625,717.6215209960938,-1.03863525390625,-0.10395841598510747
35,48,83,train,True,0.0037931,-0.3104685384035111,721.3710154134035,721.5509643554688,721.060546875,-0.4904495179653168,0.1799809795618057
36,47,83,train,True,2.49e-05,0.9383872637152672,721.737210880816,721.7455444335938,722.6755981445312,0.9300416707992554,0.00834559291601178
