Z,N,A,I,I2A,A23,Am13,Ec,Npair,Zm,vp,Nm,vn,Casten,Esh,Edef,Eth,Eexp,residual,uncertainty
10,20,30,0.3333333333333333,3.3333333333333335,9.654893846056297,0.3218297948685433,26.913433801789502,2,1.0,2.0,2.0,0.0,0.0,-3.5268,1.2482,210.7208,211.035951,-0.3151510000000144,0.253251
11,19,30,0.26666666666666666,2.1333333333333333,9.654893846056297,0.3218297948685433,32.95779322809429,0,1.0,3.0,1.0,1.0,0.75,0.7727,1.1568,225.1813,225.059055,0.12224499999999239,0.004728
12,18,30,0.2,1.2,9.654893846056297,0.3218297948685433,39.623817007550166,2,1.0,4.0,1.0,2.0,1.3333333333333333,0.4007,1.4676,242.2498,241.63275,0.6170500000000061,0.001296
13,17,30,0.13333333333333333,0.5333333333333333,9.654893846056297,0.3218297948685433,46.91274727784517,0,1.0,5.0,1.0,3.0,1.875,1.1876,0.464,247.8139,247.833147,-0.01924700000000712,0.001935
14,16,30,0.06666666666666667,0.13333333333333333,9.654893846056297,0.3218297948685433,54.82566431148982,2,1.0,6.0,1.0,4.0,2.4,-0.1682,0.0251,255.8637,255.619647,0.24405300000000807,2.4e-05
15,15,30,0.0,0.0,9.654893846056297,0.3218297948685433,63.3635178492035,0,1.0,5.0,1.0,5.0,2.5,0.392,0.0011,250.6516,250.605192,0.04640800000001377,6.6e-05
16,14,30,-0.06666666666666667,0.13333333333333333,9.654893846056297,0.3218297948685433,72.52715065085741,2,1.0,4.0,1.0,6.0,2.4,-1.4307,0.0215,244.0966,243.681243,0.4153570000000002,0.000207
17,13,30,-0.13333333333333333,0.5333333333333333,9.654893846056297,0.3218297948685433,82.31731656983825,0,1.0,3.0,1.0,5.0,1.875,-0.519,0.5673,223.601,224.165094,-0.5640940000000114,0.023877
10,21,31,0.3548387096774194,3.903225806451613,9.868272403218972,0.31833136784577337,26.620873306804356,1,1.0,2.0,2.0,1.0,0.6666666666666666,-4.2292,2.7533,210.4265,211.2057962,-0.7792962000000045,0.2661939
11,20,31,0.2903225806451613,2.6129032258064515,9.868272403218972,0.31833136784577337,32.59952797025163,1,1.0,3.0,2.0,0.0,0.0,-1.8263,1.189,228.9751,229.3590118,-0.3839117999999928,0.0139717
12,19,31,0.22580645161290322,1.5806451612903225,9.868272403218972,0.31833136784577337,39.19308923039975,1,1.0,4.0,1.0,1.0,0.8,1.0144,1.0257,244.5569,243.9448466,0.6120534000000077,0.0030752
13,18,31,0.16129032258064516,0.8064516129032258,9.868272403218972,0.31833136784577337,46.40278572237071,1,1.0,5.0,1.0,2.0,1.4285714285714286,1.1555,0.6894,255.2287,254.991058,0.2376419999999939,0.0022351
14,17,31,0.0967741935483871,0.2903225806451613,9.868272403218972,0.31833136784577337,54.22968597565247,1,1.0,6.0,1.0,3.0,2.0,0.5753,0.1438,261.9276,262.2070396,-0.27943959999998924,4.34e-05
15,16,31,0.03225806451612903,0.03225806451612903,9.868272403218972,0.31833136784577337,62.67472940687807,1,1.0,5.0,1.0,4.0,2.2222222222222223,0.5532,0.0049,262.6667,262.9161987,-0.24949870000000374,6.2e-06
16,15,31,-0.03225806451612903,0.03225806451612903,9.868272403218972,0.31833136784577337,71.73874961475973,1,1.0,4.0,1.0,5.0,2.2222222222222223,-0.1602,0.0053,256.6553,256.7358403,-0.08054029999999557,0.0002294
17,14,31,-0.0967741935483871,0.2903225806451613,9.868272403218972,0.31833136784577337,81.42249225797659,1,1.0,3.0,1.0,6.0,2.0,-0.9131,0.159,243.575,243.9455131,-0.3705131000000108,0.0034472
11,21,32,0.3125,3.125,10.079368399158984,0.3149802624737183,32.25634955825016,0,1.0,3.0,2.0,1.0,0.75,-2.6044,2.6015,230.1997,231.036208,-0.8365079999999807,0.0372608
